airfoil,thickness,thickness_loc,camber,camber_loc,le_radius,te_angle,avg_LD,peak_LD,peak_AoA
e857.dat,0.20615,0.001001,0.097031,0.001001,0.043249,21.4863,75.6395,89.7061,8.0
goe626.dat,0.167336,0.222222,0.050793,0.496496,0.048735,,77.3572,89.6901,7.0
goe585.dat,0.082392,0.227227,0.033652,0.404404,0.020027,,76.6802,89.5731,6.0
hor20.dat,0.203957,0.242242,0.031875,0.514515,0.061964,13.4931,68.4168,89.4065,9.0
goe611.dat,0.129945,0.343343,0.058628,0.353353,0.041294,,64.5668,89.4021,2.0
goe777.dat,0.220001,0.301301,0.059626,0.314314,0.04743,,71.8308,89.2713,5.0
goe276.dat,0.073121,0.265265,0.040471,0.327327,0.028519,,60.5709,89.2218,7.0
tsagi12.dat,0.119495,0.332332,0.019904,0.296296,0.020375,,59.7896,89.1123,6.0
usa45.dat,0.146423,0.261261,0.041939,0.258258,0.044248,,73.5642,89.0979,9.0
kc135b.dat,0.129916,0.386386,0.015742,0.185185,0.020787,,60.7969,89.0818,5.0
s2062.dat,0.079886,0.295295,0.017326,0.467467,0.022723,6.9217,61.1748,89.0659,3.0
du-80-141.dat,0.140497,0.327327,0.031691,0.690691,0.033262,13.6507,75.9234,89.0519,6.0
e908.dat,0.090083,0.438438,0.027674,0.665666,0.018909,14.7758,35.1729,89.0135,2.0
bw3.dat,0.050205,0.077077,0.058006,0.433433,0.023121,18.2019,64.7531,89.0009,3.0
rg15.dat,0.08928,0.314314,0.017602,0.399399,0.023404,8.5876,71.1693,88.993,4.0
e224.dat,0.101757,0.299299,0.017503,0.48048,0.025458,8.6929,70.2917,88.9891,4.0
b737d.dat,0.108006,0.404404,0.015765,0.21021,0.017023,,61.3019,88.9846,4.0
m8.dat,0.117576,0.142142,0.081473,0.349349,0.031176,,70.1329,88.9732,4.0
defcnd2.dat,0.147531,0.298298,0.038141,0.292292,0.030724,16.8951,76.3003,88.9506,7.0
ys920.dat,0.090534,0.348348,0.021475,0.648649,0.020545,16.299,53.2205,88.9381,2.0
ls417.dat,0.169916,0.386386,0.021702,0.641642,0.039443,6.3741,66.6873,88.8843,4.0
c141f.dat,0.099967,0.401401,0.023204,0.465465,0.030236,17.2192,67.996,88.8602,2.0
nacam6.dat,0.120801,0.341341,0.022159,0.307307,0.024316,,62.7658,88.8434,6.0
jn153.dat,0.175775,0.29029,0.083536,0.378378,0.046497,9.5344,66.957,88.8402,10.0
ds19.dat,0.085002,0.28028,0.019992,0.422422,0.023323,6.7332,72.4819,88.7668,4.0
e328.dat,0.133488,0.321321,0.0305,0.236236,0.029132,13.9942,59.2357,88.7461,10.0
ah79k143.dat,0.142844,0.417417,0.028681,0.4004,0.025194,11.2561,56.8613,88.7247,6.0
fauvel.dat,0.139869,0.247247,0.025517,0.233233,0.033804,,53.3362,88.6314,9.0
ag36.dat,0.081762,0.274274,0.040912,0.265265,0.022595,9.1578,66.2636,88.5899,3.0
kc135a.dat,0.15498,0.358358,0.015841,0.171171,0.026362,,61.5479,88.5876,6.0
goe147.dat,0.075562,0.155155,0.037833,0.337337,0.029687,,69.1535,88.5542,6.0
sd5060.dat,0.094634,0.259259,0.022993,0.439439,0.026089,4.7194,74.9947,88.5215,4.0
marske1.dat,0.140014,0.246246,0.030444,0.233233,0.03564,,57.5411,88.4264,9.0
goe285.dat,0.117445,0.282282,0.037501,0.342342,0.027257,,78.4348,88.369,8.0
s6061.dat,0.090159,0.317317,0.017561,0.392392,0.019895,5.5388,64.7088,88.2479,4.0
goe363.dat,0.110763,0.209209,0.05733,0.374374,0.042038,,75.3214,88.2153,7.0
goe628.dat,0.169124,0.233233,0.056652,0.431431,0.053018,,77.1652,88.179,5.0
mue139.dat,0.139036,0.212212,0.047378,0.318318,0.044927,15.4337,72.6724,88.0659,8.0
e1211.dat,0.180322,0.213213,0.044392,0.381381,0.05439,12.491,74.5802,88.0607,7.0
eh2012.dat,0.119946,0.296296,0.019944,0.249249,0.030269,10.8918,61.4485,88.0563,8.0
clarym15.dat,0.150055,0.283283,0.035648,0.412412,0.044228,,79.2363,88.04,3.0
goe566.dat,0.086845,0.338338,0.025584,0.361361,0.019185,,74.9113,87.8527,3.0
mh42.dat,0.089417,0.294294,0.018934,0.369369,0.020225,6.2525,66.7916,87.8204,5.0
naca662415.dat,0.149917,0.455455,0.02206,0.501502,0.029042,,53.2006,87.8139,5.0
e342.dat,0.142701,0.304304,0.035106,0.236236,0.031085,16.2997,60.5556,87.8129,10.0
naca747a315.dat,0.150095,0.386386,0.02528,0.35035,0.031408,,51.6676,87.8103,7.0
usa46.dat,0.065836,0.237237,0.02175,0.427427,0.023607,,70.6974,87.7726,3.0
naca634221.dat,0.210114,0.34034,0.011036,0.514515,0.045992,,60.6664,87.7116,8.0
goe320.dat,0.124152,0.246246,0.062047,0.331331,0.052191,,72.12,87.7018,6.0
rg15a111.dat,0.110015,0.314314,0.017966,0.394394,0.026075,11.2969,72.1686,87.6654,5.0
hq159.dat,0.0897,0.341341,0.014986,0.495495,0.020158,7.0477,63.0281,87.6535,3.0
naca643218.dat,0.180013,0.371371,0.011033,0.510511,0.037704,,56.645,87.5511,7.0
goe386.dat,0.203068,0.266266,0.054416,0.386386,0.067399,,70.5174,87.4979,4.0
ls421.dat,0.209062,0.385385,0.021394,0.631632,0.050972,9.2703,61.9719,87.4953,4.0
s5020.dat,0.084045,0.276276,0.02619,0.276276,0.023291,4.2095,67.6505,87.4778,6.0
goe165.dat,0.1226,0.232232,0.057607,0.514515,0.032853,,69.3988,87.4514,5.0
e850.dat,0.079953,0.363363,0.018336,0.707708,0.017246,10.111,49.5398,87.4405,2.0
fx66h80.dat,0.080028,0.275275,0.024704,0.254254,0.019069,7.7943,51.9506,87.4225,6.0
s8036.dat,0.160118,0.358358,0.018524,0.35035,0.036386,23.2291,63.0536,87.3935,6.0
goe702.dat,0.169194,0.237237,0.051241,0.371371,0.053404,,71.3107,87.3125,8.0
du-80-176-v1.dat,0.175889,0.394394,0.03,0.362362,0.031733,12.074,66.5051,87.238,8.0
goe617.dat,0.139001,0.329329,0.021933,0.356356,0.028182,,65.4163,87.1969,6.0
sd7084.dat,0.096291,0.294294,0.023088,0.379379,0.024755,9.0754,75.5056,87.1947,6.0
goe244.dat,0.178403,0.229229,0.099938,0.508509,0.074306,,71.9997,87.1839,0.0
naca2412.dat,0.120002,0.298298,0.020009,0.41041,0.025517,,70.1496,87.1451,5.0
eh2010.dat,0.100816,0.296296,0.019999,0.25025,0.026455,9.2962,59.9817,87.1297,7.0
e546.dat,0.162769,0.386386,0.017732,0.277277,0.03091,14.2456,63.295,87.0364,7.0
goe612.dat,0.151083,0.256256,0.05057,0.457457,0.048202,,74.066,86.9935,2.0
goe604.dat,0.179396,0.26026,0.053991,0.334334,0.053727,,77.7266,86.9596,6.0
n6h15.dat,0.155806,0.402402,0.045499,0.368368,0.023939,,50.2888,86.8838,8.0
n2414.dat,0.140085,0.299299,0.020011,0.408408,0.037104,18.0833,69.972,86.8628,6.0
rg12a189.dat,0.09,0.324324,0.018003,0.35035,0.021075,9.9223,63.4689,86.8034,4.0
rg12a.dat,0.09,0.324324,0.018003,0.35035,0.021075,9.9223,65.7466,86.7906,4.0
e336.dat,0.12808,0.292292,0.028029,0.22022,0.025571,15.0824,57.9372,86.7819,10.0
m12.dat,0.119812,0.334334,0.020693,0.342342,0.024204,,65.3197,86.7734,6.0
m6.dat,0.120777,0.341341,0.022173,0.31031,0.024316,,61.5261,86.7648,6.0
ls413mod.dat,0.130218,0.344344,0.019908,0.335335,0.030451,3.3022,75.9307,86.7596,3.0
goe383.dat,0.202332,0.305305,0.05003,0.348348,0.05768,,75.9585,86.6429,6.0
hq158.dat,0.079756,0.334334,0.014933,0.508509,0.018562,6.9394,55.6246,86.6274,3.0
stcyr234.dat,0.161145,0.24024,0.086574,0.347347,0.046479,,58.3847,86.5983,0.0
mh82.dat,0.133086,0.23023,0.040196,0.247247,0.03444,4.5058,70.8389,86.577,9.0
goe587.dat,0.05804,0.382382,0.030013,0.342342,0.018045,,46.233,86.5762,3.0
rc12n1.dat,0.120253,0.384384,0.013817,0.28028,0.026834,13.3461,54.7728,86.526,5.0
goe738.dat,0.154441,0.292292,0.021284,0.312312,0.035499,,61.7745,86.4943,6.0
n2415.dat,0.150092,0.299299,0.02001,0.408408,0.039876,19.359,69.005,86.4671,6.0
goe770.dat,0.209961,0.31031,0.040426,0.292292,0.04391,,69.178,86.4238,7.0
goe677.dat,0.119939,0.333333,0.022882,0.311311,0.024077,,61.415,86.3807,6.0
naca001264a08cli0.2.dat,0.11024,0.436436,0.01854,0.329329,0.025216,,60.4934,86.3798,3.0
hq159b.dat,0.089781,0.347347,0.014991,0.503504,0.022526,6.6132,65.2322,86.377,3.0
goe676.dat,0.119539,0.336336,0.020505,0.325325,0.02333,,64.935,86.3755,6.0
ah93w215.dat,0.21224,0.332332,0.030522,0.395395,0.048413,23.886,67.2893,86.336,8.0
e543.dat,0.17249,0.417417,0.018801,0.304304,0.028499,15.6169,59.0605,86.3158,7.0
ds21.dat,0.086001,0.284284,0.017999,0.41041,0.023722,6.949,69.2102,86.1995,4.0
naca654221.dat,0.209989,0.4004,0.011035,0.513514,0.040083,,51.6891,86.0998,7.0
goe384.dat,0.195762,0.303303,0.068636,0.367367,0.058244,,76.0294,85.9552,2.0
mh106.dat,0.130671,0.271271,0.010043,0.256256,0.029967,11.8042,55.1218,85.9163,7.0
s8055.dat,0.120023,0.345345,0.020487,0.407407,0.029848,11.1222,69.3023,85.9032,4.0
naca2410.dat,0.100062,0.298298,0.020013,0.412412,0.028138,,68.5314,85.8605,4.0
naca2415.dat,0.150008,0.296296,0.020014,0.412412,0.033472,,68.7152,85.812,6.0
usa34.dat,0.180672,0.276276,0.07708,0.401401,0.060513,,70.0663,85.7527,5.0
naca653218.dat,0.179995,0.403403,0.011032,0.50951,0.034825,,50.3226,85.7173,6.0
mh46.dat,0.11355,0.282282,0.018711,0.347347,0.028409,2.3717,59.0007,85.7152,6.0
s5010.dat,0.098299,0.279279,0.022011,0.286286,0.027838,5.1092,67.463,85.7004,6.0
usa27m2.dat,0.134616,0.246246,0.05142,0.362362,0.027386,,73.5329,85.6136,7.0
usa48.dat,0.149148,0.316316,0.028819,0.419419,0.025039,,67.9692,85.6027,6.0
mh43.dat,0.085005,0.297297,0.017778,0.381381,0.019476,5.5576,63.4384,85.5322,4.0
nlf415.dat,0.150189,0.461461,0.029651,0.718719,0.025007,16.4783,43.2585,85.5037,4.0
goe382.dat,0.200725,0.307307,0.060752,0.349349,0.058626,,76.5386,85.4862,4.0
raf6prop_sm.dat,0.120088,0.337337,0.060045,0.337337,0.03317,,77.0529,85.4409,2.0
goe621.dat,0.151083,0.256256,0.050568,0.457457,0.048202,,35.7267,85.4316,2.0
n9.dat,0.084664,0.282282,0.0424,0.27027,0.018847,,72.5175,85.4241,3.0
e221.dat,0.09391,0.289289,0.018359,0.312312,0.025808,9.4986,64.3818,85.3803,5.0
e540.dat,0.168832,0.444444,0.016172,0.333333,0.027025,15.9067,56.881,85.2833,6.0
tsagi_r3a.dat,0.12094,0.231231,0.034739,0.228228,0.03559,10.2243,69.1045,85.2221,10.0
hq1510.dat,0.099665,0.341341,0.014986,0.496496,0.021896,7.5234,65.4415,85.1522,4.0
goe711.dat,0.148631,0.317317,0.065649,0.35035,0.026393,,77.151,85.1482,4.0
wb140.dat,0.139549,0.326326,0.037006,0.466466,0.022964,,63.8467,85.1015,4.0
goe368.dat,0.077176,0.143143,0.038233,0.326326,0.02878,,58.1607,85.034,5.0
goe769.dat,0.1382,0.2002,0.047935,0.304304,0.041886,,73.6224,85.0333,6.0
fx63143.dat,0.14319,0.338338,0.030883,0.312312,0.026617,10.3097,65.976,85.0203,7.0
goe315.dat,0.081003,0.323323,0.040981,0.303303,0.02982,,66.7588,84.977,4.0
ag37.dat,0.077411,0.268268,0.038799,0.254254,0.022794,9.2081,68.942,84.9704,4.0
m11.dat,0.081837,0.336336,0.018856,0.327327,0.017639,,47.5741,84.9528,4.0
s3016.dat,0.095223,0.289289,0.02089,0.396396,0.025256,7.4136,72.6623,84.9028,4.0
goe683.dat,0.199001,0.299299,0.029558,0.314314,0.043992,,57.6255,84.8683,8.0
e502.dat,0.15673,0.434434,0.015309,0.34034,0.024955,14.6629,52.4015,84.8223,6.0
hq1585.dat,0.085714,0.33033,0.014958,0.511512,0.016754,,52.957,84.761,3.0
e1230.dat,0.174577,0.296296,0.0361,0.265265,0.043738,23.2616,67.9845,84.7089,8.0
mh30.dat,0.078453,0.294294,0.017493,0.441441,0.018989,7.372,65.6407,84.6647,3.0
b737c.dat,0.100302,0.379379,0.014503,0.209209,0.015231,,58.594,84.452,4.0
fx60157.dat,0.156791,0.393393,0.027166,0.751752,0.030242,10.2009,70.769,84.4108,3.0
n63215.dat,0.15003,0.345345,0.011031,0.506507,0.033088,,58.6252,84.4024,6.0
e330.dat,0.110415,0.3003,0.021803,0.18018,0.027176,13.374,55.1948,84.4,8.0
m685.dat,0.10268,0.341341,0.018835,0.307307,0.020248,,60.295,84.3548,5.0
giiig.dat,0.082914,0.44044,0.012991,0.288288,0.022649,,43.2387,84.3427,6.0
goe510.dat,0.138477,0.235235,0.05887,0.365365,0.04813,,70.4243,84.3411,6.0
mh81.dat,0.130002,0.231231,0.035137,0.229229,0.032678,4.8585,66.5627,84.303,10.0
usa33.dat,0.142009,0.314314,0.0486,0.293293,0.05484,,62.7985,84.2628,7.0
eiffel430.dat,0.097091,0.158158,0.063038,0.406406,0.028586,,58.5617,84.175,6.0
oaf117.dat,0.114678,0.231231,0.020273,0.453453,0.03409,1.7661,66.773,84.1094,6.0
e1212.dat,0.177302,0.215215,0.032096,0.364364,0.0485,12.3534,67.3881,84.0014,8.0
s1223rtl.dat,0.135182,0.193193,0.084613,0.532533,0.040832,10.0319,79.7627,83.9357,6.0
usa40b.dat,0.136381,0.211211,0.040114,0.368368,0.037212,,74.7896,83.9208,7.0
cast102.dat,0.1219,0.44044,0.015446,0.707708,0.02636,15.5754,61.8591,83.8024,3.0
naca64a210.dat,0.100006,0.386386,0.013309,0.517518,0.023906,,51.0783,83.7563,3.0
ag52.dat,0.083523,0.285285,0.017679,0.41041,0.023189,10.1795,68.2331,83.6841,4.0
mrc15.dat,0.124932,0.341341,0.012656,0.424424,0.027452,15.8377,61.3119,83.5835,5.0
mh61.dat,0.102583,0.299299,0.015148,0.377377,0.02512,4.8372,56.5829,83.5621,5.0
c141e.dat,0.105114,0.4004,0.018036,0.488488,0.028289,18.4527,63.2781,83.5193,3.0
fx082512.dat,0.118,0.249249,0.041702,0.654655,0.018218,11.3612,64.7415,83.5099,1.0
defcnd3.dat,0.114851,0.288288,0.023792,0.273273,0.030326,15.7078,71.4552,83.4818,7.0
ag53.dat,0.080784,0.278278,0.018004,0.4004,0.023788,9.4241,67.8602,83.3426,4.0
goe390.dat,0.203265,0.282282,0.069011,0.39039,0.069844,,74.0308,83.3303,3.0
du84132v.dat,0.136352,0.33033,0.030558,0.445445,0.032088,11.4738,74.6034,83.2997,6.0
sd7090.dat,0.099973,0.279279,0.018683,0.375375,0.026642,11.5217,72.0442,83.2745,5.0
rc12b3.dat,0.120005,0.391391,0.022221,0.332332,0.030177,21.8896,65.9798,83.1575,5.0
rg14.dat,0.084753,0.309309,0.015837,0.37037,0.023256,9.4281,63.4466,83.0675,4.0
mh22.dat,0.072003,0.278278,0.018073,0.349349,0.017934,6.9681,62.7266,83.0571,4.0
isa961.dat,0.093295,0.244244,0.05712,0.339339,0.021465,,68.2933,83.021,4.0
usa50.dat,0.070574,0.326326,0.019511,0.392392,0.013851,,71.1181,82.9933,3.0
n64215.dat,0.1501,0.374374,0.011031,0.506507,0.03204,,55.0627,82.8604,5.0
naca642215.dat,0.1501,0.374374,0.011031,0.506507,0.03204,,55.0627,82.8604,5.0
e327.dat,0.131214,0.322322,0.026041,0.218218,0.025859,13.9469,52.2095,82.8234,10.0
ag45c03.dat,0.069304,0.231231,0.025754,0.385385,0.023584,4.4727,62.7215,82.8204,6.0
ag54.dat,0.075339,0.263263,0.01869,0.384384,0.022763,7.8877,70.6897,82.7367,4.0
mh60.dat,0.100857,0.272272,0.018216,0.349349,0.027024,4.5813,65.4077,82.5531,6.0
goe401.dat,0.071208,0.275275,0.048647,0.304304,0.030136,,67.7673,82.5471,4.0
m9.dat,0.104765,0.169169,0.072709,0.339339,0.027514,,69.9085,82.3844,6.0
ag16.dat,0.071152,0.228228,0.018707,0.463463,0.023258,4.5078,64.856,82.3049,4.0
naca652215.dat,0.149988,0.405405,0.01103,0.503504,0.029988,,50.3337,82.2416,5.0
s102s.dat,0.150013,0.41041,0.020715,0.670671,0.030434,9.1311,61.3484,82.1943,4.0
hq1512.dat,0.119607,0.344344,0.014985,0.496496,0.025529,9.1132,65.2286,82.1799,4.0
ys915.dat,0.090952,0.357357,0.017584,0.665666,0.019976,16.261,49.7731,82.1721,2.0
naca4421.dat,0.210308,0.303303,0.040071,0.421421,0.054374,,70.1539,82.1672,6.0
clarkyh.dat,0.119061,0.308308,0.059504,0.303303,0.024752,,66.5612,82.1408,4.0
ag17.dat,0.064884,0.221221,0.020155,0.451451,0.022714,4.2369,66.22,82.1271,4.0
rg1410.dat,0.1,0.309309,0.015839,0.371371,0.029256,11.2236,65.3,82.1031,4.0
mh108.dat,0.119843,0.246246,0.011244,0.205205,0.030202,10.9234,55.6143,82.0914,8.0
usa51.dat,0.093414,0.284284,0.025663,0.291291,0.017443,,62.9087,82.0034,4.0
mh80.dat,0.127157,0.232232,0.030031,0.21021,0.036735,5.2391,61.6878,82.0033,10.0
naca651212a06.dat,0.119982,0.407407,0.014776,0.477477,0.025616,,48.8634,81.9466,4.0
oa212.dat,0.120117,0.309309,0.022912,0.314314,0.032771,2.9822,58.8578,81.9173,8.0
rg1495.dat,0.095,0.309309,0.015839,0.371371,0.028235,10.664,65.403,81.861,4.0
ag18.dat,0.05868,0.211211,0.021625,0.44044,0.022205,3.9681,67.1518,81.8521,4.0
e625.dat,0.130015,0.306306,0.028989,0.221221,0.029464,17.2713,57.2701,81.8352,9.0
raf19.dat,0.105899,0.129129,0.102099,0.361361,0.028483,,77.6935,81.8286,6.0
n5h20.dat,0.199243,0.414414,0.044609,0.382382,0.034253,,55.3901,81.8184,8.0
august160.dat,0.160396,0.255255,0.05387,0.25025,0.036833,14.0441,70.7824,81.7831,9.0
e1233.dat,0.189389,0.309309,0.043236,0.291291,0.045031,18.1535,71.401,81.6998,8.0
coanda3.dat,0.070206,0.364364,0.042174,0.345345,0.015287,,32.8432,81.696,3.0
naca2418.dat,0.18,0.299299,0.020012,0.411411,0.043075,,63.9641,81.6935,7.0
naca2408.dat,0.080049,0.299299,0.020012,0.411411,0.024186,,68.4824,81.6854,3.0
ag19.dat,0.054037,0.199199,0.022722,0.427427,0.02186,3.7804,68.1723,81.6779,4.0
ag44ct02r.dat,0.072905,0.243243,0.019427,0.338338,0.023339,6.8162,62.4463,81.6351,5.0
rc10n1.dat,0.100149,0.383383,0.014977,0.272272,0.024066,11.0003,56.2426,81.611,5.0
hq1511.dat,0.110022,0.345345,0.014991,0.503504,0.024337,8.0447,64.453,81.5026,4.0
rg149.dat,0.09,0.309309,0.015839,0.371371,0.027249,10.1039,65.2842,81.4967,4.0
s102b.dat,0.150013,0.41041,0.020715,0.670671,0.030434,8.9738,62.2512,81.4846,4.0
goe344.dat,0.072032,0.2002,0.027224,0.37037,0.028275,,68.6724,81.4313,6.0
cal4014l.dat,0.100075,0.259259,0.018404,0.31031,0.026749,3.7101,61.4777,81.4066,7.0
fx69h098.dat,0.0989,0.281281,0.017405,0.231231,0.024801,15.418,64.4631,81.4047,7.0
arad10.dat,0.100032,0.235235,0.039945,0.368368,0.033514,10.5569,76.3391,81.3942,3.0
falcon.dat,0.136795,0.311311,0.015757,0.214214,0.030731,20.9868,60.8823,81.3814,7.0
mh24.dat,0.090052,0.385385,0.013141,0.371371,0.019058,12.2394,56.6113,81.3801,3.0
fx84w218.dat,0.219667,0.334334,0.032298,0.421421,0.053166,11.7111,66.8817,81.3545,7.0
rg12.dat,0.092734,0.324324,0.013844,0.362362,0.024154,9.5971,62.258,81.2153,4.0
ag38.dat,0.070404,0.282282,0.035276,0.269269,0.022139,8.8394,66.2598,81.1804,3.0
as5048.dat,0.180022,0.394394,0.011962,0.238238,0.032784,23.7829,59.9993,81.1799,5.0
goe601.dat,0.161362,0.346346,0.024807,0.526527,0.037805,,64.4715,81.1479,4.0
goe735.dat,0.201831,0.271271,0.043805,0.287287,0.045929,,62.0232,81.0688,7.0
ag55.dat,0.065674,0.242242,0.019881,0.364364,0.022141,5.9049,66.4875,81.0549,4.0
c141d.dat,0.10766,0.4004,0.015447,0.499499,0.027474,18.695,60.613,81.052,3.0
s8065.dat,0.110043,0.382382,0.011759,0.528529,0.025045,10.9306,55.2138,81.0379,4.0
s8052.dat,0.118951,0.335335,0.01573,0.375375,0.029027,9.3667,64.8306,80.9544,5.0
e1212mod.dat,0.177689,0.22022,0.026151,0.368368,0.048641,,60.921,80.8848,10.0
goe647.dat,0.164509,0.238238,0.053367,0.384384,0.051988,,74.0761,80.8786,5.0
e335.dat,0.125934,0.305305,0.02371,0.202202,0.029867,15.0614,52.2788,80.8258,9.0
rhodesg34.dat,0.142007,0.254254,0.070917,0.256256,0.033168,,74.7873,80.8182,6.0
fx66h60.dat,0.060207,0.232232,0.01684,0.171171,0.017524,6.8213,44.9702,80.7624,6.0
s6062.dat,0.07953,0.306306,0.015892,0.401401,0.018598,5.7481,51.2696,80.6484,3.0
mh45.dat,0.098531,0.266266,0.017097,0.342342,0.026641,4.4042,63.5229,80.643,6.0
mh23.dat,0.079963,0.36036,0.012797,0.387387,0.022684,11.1243,62.5047,80.6336,3.0
nlf0115.dat,0.149894,0.423423,0.018367,0.3003,0.030748,14.8631,59.8352,80.6271,5.0
df102.dat,0.110047,0.283283,0.023048,0.433433,0.032898,11.2387,69.3612,80.4855,3.0
fx78k161.dat,0.161622,0.407407,0.028466,0.384384,0.027463,11.3979,45.1963,80.4828,7.0
avistar.dat,0.145221,0.34034,0.021892,0.38038,0.030699,21.6577,51.7424,80.4415,4.0
ag45ct02r.dat,0.068963,0.237237,0.018532,0.323323,0.023325,5.7201,64.3138,80.3937,5.0
nlf414f.dat,0.141811,0.451451,0.024125,0.516517,0.027858,7.5766,43.4898,80.3752,5.0
ag14.dat,0.05371,0.196196,0.021039,0.403403,0.021796,3.7293,64.9431,80.3148,4.0
ls421mod.dat,0.209614,0.329329,0.020802,0.254254,0.055758,5.0209,67.1966,80.3045,6.0
p51droot.dat,0.165533,0.368368,0.012669,0.693694,0.03977,10.6548,54.1865,80.2806,6.0
rc08n1.dat,0.080192,0.384384,0.015605,0.269269,0.021378,8.6996,45.5782,80.2274,4.0
mh25.dat,0.09985,0.403403,0.014669,0.388388,0.02001,14.8974,58.219,80.187,3.0
goe512.dat,0.139882,0.225225,0.056774,0.331331,0.046872,,63.8406,80.0262,7.0
goe625.dat,0.200063,0.292292,0.062613,0.359359,0.047307,,70.6425,80.0125,7.0
e182.dat,0.08474,0.32032,0.017242,0.366366,0.023116,5.361,51.9656,80.006,4.0
sd8000.dat,0.08876,0.275275,0.017158,0.474474,0.025102,6.3772,69.4137,79.9987,4.0
mh62.dat,0.092978,0.269269,0.016444,0.365365,0.025589,4.344,62.79,79.9556,6.0
mh44.dat,0.096599,0.278278,0.015408,0.352352,0.025818,8.6077,64.2525,79.9547,5.0
s2050.dat,0.08934,0.299299,0.012573,0.413413,0.024371,6.6977,62.9186,79.9401,4.0
ag13.dat,0.058349,0.209209,0.019749,0.423423,0.02147,3.9106,67.3382,79.7855,4.0
goe481a.dat,0.153773,0.259259,0.055086,0.417417,0.057388,,62.6739,79.7469,7.0
eh2070.dat,0.070023,0.295295,0.019943,0.249249,0.021344,6.3676,45.4319,79.7189,5.0
pfcm.dat,0.082007,0.386386,0.013312,0.517518,0.014364,,35.3094,79.6837,3.0
goe765.dat,0.144011,0.301301,0.019016,0.256256,0.037122,18.5624,53.9607,79.6073,8.0
c141c.dat,0.109883,0.4004,0.01317,0.512513,0.026211,18.7042,57.2714,79.5212,3.0
goe648.dat,0.152805,0.25025,0.03925,0.369369,0.048201,,71.8867,79.4666,8.0
ag12.dat,0.062375,0.214214,0.018488,0.431431,0.02033,4.0453,68.2453,79.4548,4.0
goe286.dat,0.094111,0.263263,0.04113,0.33033,0.03228,,63.5768,79.4531,6.0
c5c.dat,0.11104,0.402402,0.014054,0.672673,0.026995,,57.4729,79.407,3.0
amsoil1.dat,0.116278,0.399399,0.020795,0.421421,0.029913,10.7874,60.6499,79.4008,3.0
v23010.dat,0.101887,0.287287,0.017542,0.15015,0.031358,,59.0587,79.2994,8.0
s8064.dat,0.123427,0.394394,0.011792,0.538539,0.026555,12.2127,54.7593,79.1765,4.0
goe766.dat,0.120146,0.26026,0.014905,0.184184,0.029338,,56.7464,79.1354,8.0
e542.dat,0.168897,0.421421,0.019167,0.299299,0.027663,16.3521,52.8801,79.0975,7.0
fx75vg166.dat,0.16726,0.434434,0.024294,0.414414,0.028256,11.1215,44.1598,79.0631,7.0
as5045.dat,0.150005,0.372372,0.010209,0.257257,0.031344,8.248,60.011,79.0279,5.0
eh1590.dat,0.089965,0.296296,0.014957,0.25025,0.024465,8.2954,54.9703,79.0087,6.0
goe572.dat,0.186188,0.285285,0.083289,0.311311,0.057613,,63.8064,78.9967,3.0
ls417mod.dat,0.170061,0.293293,0.02327,0.205205,0.043927,8.5322,65.1018,78.9814,9.0
n63212.dat,0.120013,0.348348,0.011056,0.528529,0.027721,,55.3256,78.9142,4.0
n64212.dat,0.120013,0.377377,0.011031,0.504505,0.027001,,56.4176,78.8736,4.0
rg14a147.dat,0.070009,0.309309,0.014002,0.361361,0.018489,8.2641,62.9382,78.8443,3.0
e541.dat,0.166435,0.462462,0.016821,0.342342,0.026175,13.9122,49.7373,78.72,6.0
arad20.dat,0.200178,0.263263,0.037641,0.226226,0.059461,12.4386,63.4437,78.68,9.0
usa31.dat,0.149679,0.223223,0.093843,0.414414,0.056226,,71.1426,78.6157,3.0
ag03.dat,0.062376,0.251251,0.020249,0.323323,0.02097,6.6561,66.2427,78.5829,5.0
ag455ct02r.dat,0.064751,0.227227,0.018347,0.319319,0.023156,4.9244,63.6664,78.5513,5.0
hq108.dat,0.07975,0.34034,0.009985,0.495495,0.018482,6.0348,39.0269,78.5491,3.0
e1213.dat,0.174078,0.218218,0.020594,0.333333,0.051024,12.4744,58.7307,78.418,8.0
mh26.dat,0.109911,0.417417,0.015166,0.406406,0.020903,18.7696,57.2447,78.3992,3.0
b29root.dat,0.220665,0.328328,0.017728,0.349349,0.046806,,49.0945,78.2978,10.0
hq1010.dat,0.09962,0.343343,0.009997,0.489489,0.021735,7.6308,57.9709,78.2485,4.0
sd7003.dat,0.085138,0.247247,0.014571,0.35035,0.027984,5.4088,65.5738,78.1592,6.0
pmc19sm.dat,0.091945,0.345345,0.021245,0.175175,0.020436,5.5498,48.1384,78.1109,6.0
pt40.dat,0.115967,0.263263,0.028806,0.411411,0.043243,15.5723,64.5947,78.1099,7.0
dga1138.dat,0.069457,0.358358,0.040982,0.349349,0.016409,,65.613,78.1036,1.0
hq109.dat,0.089818,0.344344,0.010001,0.493493,0.020052,6.7418,55.3953,78.079,3.0
goe704.dat,0.129498,0.298298,0.021485,0.367367,0.036121,,60.823,77.9509,8.0
mh110.dat,0.10012,0.24024,0.011371,0.157157,0.025947,9.7177,48.3754,77.9291,8.0
m5.dat,0.082593,0.348348,0.020673,0.303303,0.023304,,50.9682,77.9204,5.0
