airfoil,thickness,thickness_loc,camber,camber_loc,le_radius,te_angle,avg_LD,peak_LD,peak_AoA
e715.dat,0.150735,0.314314,0.027887,0.431431,0.031675,8.2562,63.438,97.804,9.0
n22.dat,0.1239,0.278278,0.06235,0.3003,0.026862,,88.7664,97.7936,5.0
goe565.dat,0.084485,0.26026,0.027944,0.472472,0.018887,,74.6402,97.7674,2.0
goe222.dat,0.186069,0.278278,0.072421,0.540541,0.048777,,85.8197,97.7394,2.0
goe526.dat,0.123122,0.282282,0.041321,0.39039,0.04023,,85.5085,97.7387,3.0
goe744.dat,0.145694,0.238238,0.070192,0.309309,0.038017,,70.3756,97.7112,7.0
isa571.dat,0.074088,0.263263,0.043435,0.275275,0.017398,,73.7223,97.7076,9.0
clarky.dat,0.117072,0.282282,0.034331,0.42042,0.029505,15.3634,86.8622,97.7061,4.0
goe432.dat,0.077522,0.226226,0.043551,0.365365,0.019146,,84.1131,97.6673,4.0
goe404.dat,0.132762,0.257257,0.049807,0.322322,0.049401,,77.6131,97.6375,8.0
goe798.dat,0.200169,0.321321,0.062187,0.44044,0.050321,,74.3428,97.6307,4.0
e556.dat,0.160203,0.311311,0.031305,0.633634,0.034185,10.598,83.5762,97.63,6.0
goe323.dat,0.110512,0.29029,0.051855,0.321321,0.026902,,75.209,97.611,8.0
naca654421a05.dat,0.209985,0.4004,0.029974,0.449449,0.039822,,66.3741,97.5904,8.0
goe507.dat,0.086501,0.302302,0.029236,0.417417,0.021355,,75.3212,97.5538,3.0
goe278.dat,0.074613,0.27027,0.042765,0.337337,0.027752,,75.7922,97.5164,6.0
goe257.dat,0.088522,0.319319,0.041225,0.34034,0.0278,,66.8509,97.4332,5.0
goe29b.dat,0.09435,0.176176,0.065784,0.324324,0.045303,,79.2264,97.3572,6.0
goe620.dat,0.175153,0.285285,0.059348,0.458458,0.041022,,81.7316,97.3161,3.0
goe144.dat,0.073152,0.188188,0.047668,0.354354,0.029398,,74.38,97.2592,4.0
goe134.dat,0.09453,0.31031,0.041255,0.34034,0.019439,,74.2216,97.2093,7.0
goe243.dat,0.192845,0.25025,0.084266,0.56957,0.066552,,82.7129,97.209,2.0
lds2.dat,0.11975,0.345345,0.021671,0.471471,0.027685,13.9051,70.4019,97.1916,4.0
raf48.dat,0.149659,0.309309,0.029675,0.349349,0.029603,,77.5912,97.148,7.0
hq2195.dat,0.095026,0.331331,0.020995,0.557558,0.01887,6.9455,72.2875,97.1343,3.0
hq3015.dat,0.149832,0.351351,0.029861,0.508509,0.032307,11.1418,80.5269,97.1204,5.0
goe795.dat,0.0801,0.323323,0.02447,0.436436,0.021144,15.8765,73.5435,97.0846,3.0
fx60160.dat,0.156543,0.369369,0.030785,0.582583,0.024899,,70.0892,97.0788,5.0
hq209.dat,0.089746,0.343343,0.019946,0.496496,0.02023,6.8217,70.8481,97.0657,3.0
usa28.dat,0.132238,0.276276,0.037611,0.483483,0.034056,,71.746,97.0191,5.0
e637.dat,0.121112,0.286286,0.035565,0.249249,0.027889,15.4529,74.7873,96.9678,10.0
e417.dat,0.142152,0.391391,0.031882,0.757758,0.028598,11.4157,65.6109,96.9058,4.0
goe449.dat,0.170792,0.347347,0.05394,0.414414,0.035738,,86.7083,96.8796,4.0
legionair140_sm.dat,0.086017,0.296296,0.033576,0.321321,0.022734,8.7498,67.0246,96.8662,6.0
sa7036.dat,0.09206,0.286286,0.027884,0.412412,0.024395,6.9193,83.8577,96.7984,5.0
naca4415.dat,0.150025,0.296296,0.040122,0.415415,0.037044,23.5045,85.1465,96.7949,6.0
s1223.dat,0.121422,0.199199,0.08677,0.48048,0.036031,6.5536,92.2794,96.7464,6.0
e338.dat,0.133269,0.307307,0.037554,0.251251,0.030007,15.1045,70.0622,96.6729,9.0
goe436.dat,0.110486,0.268268,0.037686,0.335335,0.025373,,81.0401,96.4826,8.0
goe490.dat,0.088508,0.224224,0.038948,0.343343,0.030513,,68.5005,96.4541,5.0
usa35.dat,0.182174,0.274274,0.064392,0.38038,0.06411,,82.426,96.4328,5.0
sg6040.dat,0.160061,0.351351,0.025003,0.592593,0.034611,13.264,78.3949,96.4253,7.0
m22.dat,0.06276,0.337337,0.063128,0.314314,0.01487,,40.862,96.4187,6.0
usa35a.dat,0.182073,0.277277,0.064355,0.383383,0.064065,,82.3773,96.3727,5.0
e549.dat,0.181304,0.371371,0.020975,0.32032,0.034011,14.0383,72.3873,96.3214,8.0
ls413.dat,0.129348,0.389389,0.021416,0.608609,0.029469,5.9407,72.5329,96.3095,3.0
mh200.dat,0.129695,0.38038,0.021096,0.485485,0.027518,9.9854,72.8542,96.3059,5.0
goe509.dat,0.112322,0.245245,0.052529,0.345345,0.037594,,79.9879,96.2627,6.0
mh201.dat,0.130814,0.357357,0.025967,0.465465,0.029659,9.7235,80.8976,96.2222,4.0
goe503.dat,0.156226,0.287287,0.069898,0.382382,0.046758,,82.8847,96.2163,5.0
hor07.dat,0.071791,0.248248,0.044736,0.403403,0.023115,3.4385,72.7995,96.1888,4.0
goe116.dat,0.094091,0.35035,0.041202,0.444444,0.025317,,65.9562,96.1317,4.0
goe802a.dat,0.098291,0.267267,0.061992,0.373373,0.025139,,79.2789,95.9323,7.0
goe14.dat,0.099449,0.259259,0.069326,0.299299,0.047739,,86.3161,95.9037,10.0
goe143.dat,0.075143,0.238238,0.038138,0.338338,0.030797,,70.1204,95.9028,5.0
goe177.dat,0.077304,0.22022,0.050886,0.368368,0.016883,,74.9349,95.886,4.0
goe182.dat,0.094688,0.185185,0.052736,0.37037,0.034318,,79.1261,95.8816,9.0
goe564.dat,0.082151,0.325325,0.026875,0.442442,0.018899,,77.0242,95.872,2.0
fx61140.dat,0.139857,0.333333,0.02463,0.309309,0.025252,5.3933,74.2534,95.8718,6.0
goe398.dat,0.138554,0.291291,0.048567,0.378378,0.03075,,84.6322,95.8265,5.0
goe422.dat,0.170729,0.293293,0.065105,0.402402,0.0562,,82.3193,95.782,3.0
e49.dat,0.072361,0.369369,0.079825,0.473473,0.029066,12.6693,68.178,95.7044,4.0
usa26.dat,0.099198,0.23023,0.04401,0.352352,0.033238,,75.1624,95.6426,7.0
goe424.dat,0.202132,0.336336,0.047754,0.363363,0.04732,,78.0484,95.633,8.0
goe646.dat,0.184251,0.265265,0.044808,0.479479,0.052521,,76.2729,95.6132,6.0
naca654421.dat,0.209993,0.4004,0.022069,0.512513,0.039934,,65.3034,95.5654,7.0
usa5.dat,0.064586,0.251251,0.045695,0.354354,0.015314,,78.1114,95.514,4.0
ah82150f.dat,0.150019,0.446446,0.036368,0.459459,0.024112,13.192,53.2748,95.4683,6.0
goe290.dat,0.17607,0.286286,0.038792,0.376376,0.047452,,74.5143,95.4503,6.0
sm701.dat,0.160023,0.358358,0.03318,0.593594,0.0393,10.1543,80.7547,95.4287,3.0
waspsm.dat,0.093571,0.262262,0.029821,0.395395,0.024532,14.6305,83.5851,95.4124,6.0
davis_corrected.dat,0.159085,0.292292,0.024778,0.304304,0.03891,,68.4555,95.2646,9.0
s3010.dat,0.103352,0.267267,0.028263,0.371371,0.026992,4.4445,81.0942,95.176,6.0
naca2411.dat,0.110075,0.298298,0.025012,0.407407,0.029741,14.7225,77.0229,95.157,5.0
m16.dat,0.061928,0.348348,0.041188,0.316316,0.014526,,39.4013,95.0788,5.0
n10.dat,0.112512,0.27027,0.056465,0.269269,0.023024,,79.9621,95.0011,6.0
naca634421.dat,0.210169,0.339339,0.02207,0.513514,0.045718,,72.8166,94.9734,8.0
goe438.dat,0.110182,0.276276,0.037921,0.355355,0.035437,,82.2226,94.8877,7.0
goe563.dat,0.089055,0.315315,0.022536,0.461461,0.027701,,74.2224,94.8667,3.0
hq2010.dat,0.099709,0.345345,0.019992,0.47047,0.021915,7.4796,72.5556,94.8604,4.0
rg8.dat,0.108062,0.319319,0.022255,0.613614,0.026196,10.4669,78.3374,94.7996,5.0
mh70.dat,0.110867,0.279279,0.030846,0.378378,0.028041,7.2084,82.6125,94.7344,5.0
usa27.dat,0.112148,0.246246,0.05141,0.361361,0.022367,,77.3888,94.7332,7.0
usnps4.dat,0.119462,0.33033,0.05023,0.358358,0.029588,22.1599,86.7098,94.7218,1.0
sa7035.dat,0.092065,0.289289,0.025567,0.404404,0.024223,6.9434,80.4103,94.7072,5.0
e344.dat,0.147464,0.307307,0.044511,0.264264,0.034896,16.0722,70.242,94.6907,10.0
naca65410.dat,0.099978,0.409409,0.02206,0.502503,0.023067,,68.2822,94.6597,3.0
mh32.dat,0.086982,0.297297,0.024011,0.425425,0.023261,7.5096,72.0562,94.6191,4.0
boe103.dat,0.127373,0.321321,0.03597,0.4004,0.027437,,80.9081,94.6159,3.0
e231.dat,0.123414,0.399399,0.024582,0.399399,0.026587,12.4963,68.5739,94.6097,5.0
mh104.dat,0.152803,0.281281,0.020036,0.29029,0.035401,12.7168,64.7387,94.5793,9.0
e332.dat,0.115452,0.303303,0.030542,0.235235,0.026848,13.5336,70.2594,94.4934,8.0
goe590.dat,0.057386,0.333333,0.040508,0.332332,0.021275,,70.2185,94.4078,4.0
e636.dat,0.118992,0.284284,0.031764,0.231231,0.027773,15.4945,61.3026,94.3826,9.0
goe548.dat,0.11995,0.353353,0.023041,0.524525,0.018897,,69.9866,94.3418,3.0
cr1.dat,0.122101,0.249249,0.047102,0.416416,0.033996,18.9433,73.5466,94.3219,6.0
goe415.dat,0.085467,0.231231,0.036803,0.336336,0.029305,,58.2803,94.314,6.0
usa40.dat,0.134619,0.252252,0.041926,0.406406,0.033681,,79.3842,94.2874,5.0
e329.dat,0.135542,0.322322,0.035502,0.253253,0.030204,13.8422,66.3077,94.2595,10.0
daytonwrightt1.dat,0.134544,0.258258,0.071098,0.355355,0.029442,,83.4454,94.2225,1.0
