Timestamp,a (mm/s),n,rho_p (g/cm³),c* (m/s),P1 (MPa),k,P2 (MPa),Mass (kg),TWR,d (mm),Kn,Cf,Area_throat (mm²),D_throat (mm),Expansion Ratio (ε),D_exit (mm),Req_L (mm)
2026-09-19 11:38:27,3.84,0.688,1.865,912.0,4.0,1.131,0.101325,2.0,6.0,30.0,235.96,1.5532,18.94,4.91,6.69,12.7,47.42
2026-09-19 11:38:45,3.84,0.688,1.865,912.0,4.0,1.131,0.101325,2.0,6.0,50.0,235.96,1.5532,18.94,4.91,6.69,12.7,28.45
