Airfoil_Name,Camber,Camber_Location,Thickness,Thickness_Location,Reynolds_Number,Cl,Cd,peak_LD_2d,aoa_2d,peak_LD_3d,aoa_3d,airfoil
naca2410,0.019496,0.4,0.100064,0.299,500000.0,0.3906,0.0117534138008056,85.71960297766749,4.0,33.232897830350154,1.0,
e222,0.024887,0.504,0.101733,0.311,500000.0,0.3839,0.0116190893601125,101.29277566539923,4.0,33.04045507369091,0.0,
sd8040,0.026374,0.395,0.100007,0.293,500000.0,0.4476,0.0135525924780005,91.3568376068376,5.0,33.02689140299703,1.0,
e224,0.017665,0.492,0.101742,0.3,500000.0,0.3468,0.0105439066359643,89.0,4.0,32.89103479132625,1.0,
goe546,0.034614,0.5,0.104012,0.3,500000.0,0.4357,0.0132589641065479,107.52157829839705,4.0,32.86078735101393,0.0,
c5d,0.014039,0.6,0.110545,0.4,500000.0,0.4279,0.013156709887945,75.6100981767181,3.0,32.523328677488486,2.0,
s7055,0.035717,0.386,0.105009,0.318,500000.0,0.4032,0.0124379664225025,106.7711962833914,5.0,32.41687477709686,0.0,
clarkv,0.033282,0.5,0.116404,0.3,500000.0,0.4369,0.013518176888668,110.48933500627354,4.0,32.319446889782995,0.0,
c5b,0.012606,0.7,0.115502,0.4,500000.0,0.4147,0.012860198780498,73.03597122302159,3.0,32.24677993538291,2.0,
s3010,0.027942,0.384,0.103192,0.25,500000.0,0.4121,0.0127796970868355,95.1638530287984,6.0,32.24646071028619,1.0,
c5c,0.014598,0.65,0.111035,0.4,500000.0,0.4307,0.0133667384092599,78.07854137447404,3.0,32.22177219400264,2.0,
s8065,0.011875,0.525,0.110001,0.378,500000.0,0.4557,0.014156591006652,80.3068340306834,4.0,32.18995306044162,3.0,
df101,0.023283,0.435,0.110021,0.291,500000.0,0.3899,0.0121229539647683,90.51851851851852,4.0,32.16212823484477,1.0,
c141e,0.017406,0.5,0.105114,0.402,500000.0,0.3834,0.0119447223497791,82.87179487179488,3.0,32.09785784657352,1.0,
cal1215j,0.022852,0.448,0.117256,0.299,500000.0,0.3994,0.012443753839482,92.14521452145212,5.0,32.09642404953141,1.0,
cal2263m,0.035525,0.425,0.117206,0.319,500000.0,0.4287,0.0133623724054514,104.54545454545456,4.0,32.08262627264483,0.0,
mh60,0.018222,0.366,0.100851,0.269,500000.0,0.3681,0.0114741445667383,82.7471383975026,6.0,32.08082291965035,2.0,
davis,0.036127,0.4,0.112506,0.3,500000.0,0.4255,0.0132700099377702,101.62980209545984,4.0,32.06478382423107,0.0,
bacxxx,0.01333,0.15,0.113099,0.35,500000.0,0.3178,0.0099121520759202,74.96379726468221,7.0,32.06165498328412,1.0,
df102,0.022877,0.435,0.110025,0.291,500000.0,0.3908,0.0121992662089247,80.35220125786164,3.0,32.03471367106474,1.0,
goe548,0.022882,0.5,0.119001,0.4,500000.0,0.417,0.0130518338586603,92.61096605744126,3.0,31.949533262201705,1.0,
clarkysm,0.035235,0.435,0.117242,0.309,500000.0,0.4239,0.0132791163062738,100.74683544303797,3.0,31.92230493528584,0.0,
rg8,0.022147,0.605,0.108035,0.311,500000.0,0.3848,0.0120649971634724,94.60385438972165,5.0,31.89391549672367,0.0,
mh70,0.030846,0.385,0.110769,0.293,500000.0,0.4559,0.0143234185664696,94.89571899012076,5.0,31.82899374785004,1.0,
e226,0.009629,0.429,0.101878,0.286,500000.0,0.3441,0.010814049599378,76.73521850899743,4.0,31.81971719639519,2.0,
s4310,0.041648,0.398,0.108602,0.307,500000.0,0.435,0.0136761397897797,110.65239551478084,6.0,31.80722094732302,0.0,
mrc20-700,0.029404,0.467,0.109117,0.382,500000.0,0.5345,0.0168085918778022,110.96491228070175,3.0,31.79921339549404,1.0,
dae41,0.030377,0.41,0.116848,0.315,500000.0,0.4358,0.0137122277190869,102.94392523364486,5.0,31.78185258646064,1.0,
s2091,0.039249,0.395,0.101116,0.26,500000.0,0.4078,0.0128376707591375,106.83977900552485,5.0,31.765887102980813,0.0,
naca2411,0.024103,0.396,0.11008,0.299,500000.0,0.4505,0.0141901259974672,95.49889135254988,5.0,31.74742775930301,1.0,
clarky,0.035016,0.42,0.117067,0.28,500000.0,0.3781,0.0119135831985857,97.55841121495328,4.0,31.73688332867672,0.0,
e212,0.029164,0.584,0.105608,0.275,500000.0,0.4955,0.0156242968039195,107.144578313253,4.0,31.713427248495368,0.0,
mh61,0.015158,0.373,0.102349,0.277,500000.0,0.4432,0.0139758134232835,89.77948226270374,9.0,31.711928785600023,3.0,
naca1410,0.009534,0.5,0.100056,0.301,500000.0,0.3965,0.0125073192240232,70.67065868263472,4.0,31.70143760610414,2.0,
k3311sm,0.032296,0.416,0.11028,0.306,500000.0,0.356,0.0112360378512222,108.1012658227848,6.0,31.68376652996727,0.0,
sd7034,0.039046,0.394,0.105248,0.282,500000.0,0.4033,0.012730986621599,107.08102108768034,5.0,31.67861313401829,0.0,
e193,0.035426,0.4,0.102262,0.31,500000.0,0.4118,0.0130004410098274,112.63387978142076,6.0,31.67584851073173,0.0,
kc135c,0.014359,0.25,0.105918,0.4,500000.0,0.3801,0.0120103696822809,91.38166894664845,4.0,31.64765199199204,2.0,
s8055,0.020773,0.411,0.120016,0.343,500000.0,0.4285,0.0135859522822882,85.46261089987327,4.0,31.53993118013736,2.0,
b737d,0.015381,0.2,0.107999,0.4,500000.0,0.3661,0.0116091555976945,88.93917963224895,4.0,31.53545466069078,2.0,
sd6060,0.018709,0.363,0.103719,0.339,500000.0,0.4091,0.0129874396473528,92.97520661157026,4.0,31.499665146346512,2.0,
e211,0.025512,0.591,0.109643,0.332,500000.0,0.4308,0.013679964573577,103.014888337469,4.0,31.49130962167072,0.0,
c141c,0.012887,0.5,0.109882,0.402,500000.0,0.4354,0.0138591777627178,79.70954356846474,3.0,31.41600515228665,2.0,
rc1064c,0.009658,0.35,0.100003,0.4,500000.0,0.3369,0.0107304334777384,61.6,3.0,31.39668128961781,2.0,
l188tip,0.026577,0.517,0.119894,0.413,500000.0,0.4566,0.0145473386182107,108.91711229946524,4.0,31.387184417939885,1.0,
