Airfoil_Name,Camber,Camber_Location,Thickness,Thickness_Location,Reynolds_Number,Cl,Cd,peak_LD_2d,aoa_2d,peak_LD_3d,aoa_3d
e476,-0.0,0.064,0.16728,0.317,500000.0,0.4356,0.0159257012429735,66.33119853613906,7.0,27.352013789169185,4.0
s4022,0.043428,0.569,0.112711,0.341,500000.0,0.6927,0.025328903520834563,127.95232936078007,5.0,27.348203187327556,0.0
sg6050,0.032502,0.474,0.160187,0.315,500000.0,0.6152,0.02250306749014834,104.63126843657817,6.0,27.338495086029027,2.0
mh108,0.011227,0.221,0.119669,0.262,500000.0,0.4229,0.015477405151965551,82.56055363321799,8.0,27.323701605517115,3.0
e428,0.006262,0.506,0.111729,0.227,500000.0,0.4142,0.015164678364929938,73.71647509578543,8.0,27.313470818997725,3.0
naca652415a05,0.028234,0.45,0.149991,0.401,500000.0,0.5238,0.01919453532812375,110.14656144306652,6.0,27.289016954347968,2.0
sm701,0.033197,0.603,0.159989,0.363,500000.0,0.5551,0.020359145679085575,94.90196078431372,3.0,27.265387691107293,0.0
sc20614,0.020427,0.82,0.139924,0.361,500000.0,0.4704,0.017256398741739558,62.645161290322584,1.0,27.25945355343479,0.0
fx63110,0.041654,0.597,0.110028,0.308,500000.0,0.6816,0.025007641006709335,118.78594249201277,4.0,27.255669569837977,0.0
goe438,0.036493,0.398,0.110006,0.297,500000.0,0.6737,0.02472668776305232,94.73018549747047,7.0,27.24586513389276,2.0
goe414,0.051698,0.401,0.13614,0.301,500000.0,0.5642,0.020730579411557364,99.43485086342228,7.0,27.215833614638708,0.0
ah93w145,0.03897,0.371,0.144833,0.339,500000.0,0.4454,0.016379021701248043,119.67857142857143,8.0,27.193321318211673,0.0
naca23012,0.014608,0.165,0.12005,0.297,500000.0,0.3653,0.01343724389409406,76.84101858224363,9.0,27.18563441127661,2.0
goe758,0.045631,0.4,0.138511,0.3,500000.0,0.5838,0.02149319436297433,107.64427625354777,6.0,27.162086293031173,1.0
rc12b3,0.022086,0.343,0.119966,0.38,500000.0,0.5502,0.0202563272327003,83.2135922330097,5.0,27.16188347864949,2.0
goe533,0.04436,0.401,0.137019,0.299,500000.0,0.5504,0.020264570335305807,106.06879606879606,7.0,27.1607041695362,0.0
goe553,0.043937,0.396,0.137024,0.296,500000.0,0.5473,0.020157138904435424,105.26872964169381,7.0,27.15167080976809,0.0
e169,0.0,0.116,0.14404,0.265,500000.0,0.4424,0.016299282107028995,77.48819641170915,7.0,27.1422997095815,4.0
w1015,1e-06,0.931,0.149952,0.272,500000.0,0.4323,0.015928446914064982,70.17341040462428,7.0,27.140122469710132,4.0
mh83,0.050961,0.32,0.133082,0.221,500000.0,0.5681,0.02093594963603866,93.41346153846155,8.0,27.13514361068608,1.0
fx60157,0.026581,0.75,0.156733,0.402,500000.0,0.5134,0.01892058585223219,79.69061876247505,3.0,27.134466343146062,0.0
e556,0.031171,0.653,0.160202,0.311,500000.0,0.5143,0.018955222836117835,97.27195225916454,6.0,27.132363699783983,0.0
ah80136,0.033749,0.339,0.13549,0.339,500000.0,0.5246,0.019345943900799044,109.88775510204081,8.0,27.116795266750074,3.0
goe677,0.022213,0.3,0.119502,0.3,500000.0,0.5653,0.020867106954861957,86.1807580174927,6.0,27.09048270192947,3.0
oaf117,0.020019,0.469,0.114679,0.232,500000.0,0.4944,0.01825351980957049,84.14612676056338,6.0,27.085187139676016,2.0
mh106,0.010066,0.266,0.130668,0.274,500000.0,0.3807,0.014057464046615693,86.51231527093597,7.0,27.08169828765472,3.0
spicasm,0.046158,0.35,0.117208,0.3,500000.0,0.5684,0.02098871760729682,111.57894736842104,6.0,27.081216234115857,1.0
hq3518,0.033659,0.5,0.180007,0.35,500000.0,0.4783,0.01766706305388994,89.7286432160804,4.0,27.072977468922755,0.0
fx60160,0.030457,0.6,0.155955,0.4,500000.0,0.4645,0.017159837720057202,96.42998027613413,5.0,27.069020557057552,0.0
naca001264,0.0,0.075,0.12,0.4,500000.0,0.3252,0.012020338205383792,49.97541487400123,7.0,27.05414726636777,3.0
e555,0.026063,0.648,0.160374,0.319,500000.0,0.4372,0.016167996935897964,92.65762170790104,7.0,27.041073902561205,0.0
gs1,0.040826,0.5,0.139013,0.3,500000.0,0.4703,0.017392875987505052,104.76733143399811,6.0,27.039806432119736,0.0
goe619,0.045203,0.495,0.137977,0.202,500000.0,0.5133,0.018986741043289308,86.03378921962992,6.0,27.034655332881428,0.0
goe426,0.045003,0.4,0.136005,0.3,500000.0,0.5967,0.022083472737827927,111.93521594684384,8.0,27.02020678921036,1.0
usa28,0.037548,0.499,0.131712,0.299,500000.0,0.4807,0.017803253881424133,96.6248794599807,5.0,27.000682189987813,1.0
goe704,0.020795,0.398,0.1295,0.298,500000.0,0.3992,0.014787772609479534,78.29529243937232,8.0,26.995275795902987,2.0
fx711525,0.0,0.052,0.15002,0.339,500000.0,0.4533,0.016794893965746353,49.81318681318681,4.0,26.99034604949086,4.0
naca662215,0.010442,0.5,0.149903,0.45,500000.0,0.6084,0.022541480308760756,70.09216589861751,4.0,26.990241619737155,4.0
eh3012,0.029655,0.25,0.119759,0.3,500000.0,0.5233,0.01939492931154592,90.9024612579763,7.0,26.981279054648386,3.0
goe766,0.012644,0.2,0.120096,0.25,500000.0,0.4688,0.01741012454972002,79.77371627502175,7.0,26.926860785010238,3.0
goe412,0.050182,0.401,0.131372,0.301,500000.0,0.5708,0.021221104041840043,115.45738045738045,5.0,26.897752297646573,0.0
goe624,0.049473,0.4,0.160011,0.3,500000.0,0.524,0.019482382977505944,98.11158798283262,8.0,26.896093799459866,0.0
mh104,0.019983,0.311,0.152654,0.269,500000.0,0.468,0.017402059354296305,94.94685200327065,9.0,26.89336879456499,3.0
goe411,-0.0,0.05,0.132,0.3,500000.0,0.3381,0.01258076653748069,40.734939759036145,3.0,26.87435610483118,3.0
hsnlf213,0.013355,0.326,0.132548,0.426,500000.0,0.5621,0.020922005753663427,65.3189401373896,5.0,26.86644897330538,4.0
fx711530,0.0,0.017,0.15,0.339,500000.0,0.4563,0.01698708267367792,51.02304147465438,5.0,26.861587052087103,4.0
fx71l150,0.0,0.017,0.15,0.339,500000.0,0.4563,0.01698708267367792,51.02304147465438,5.0,26.861587052087103,4.0
m6,0.021896,0.3,0.120101,0.3,500000.0,0.5602,0.020872152288722044,86.71287128712872,6.0,26.839589528229713,3.0
naca0015,-0.0,0.05,0.15004,0.3,500000.0,0.4259,0.015872763304221833,65.20274914089347,8.0,26.832126948350528,4.0
mh80,0.030021,0.217,0.127049,0.22,500000.0,0.4172,0.015558081720002833,81.10819672131149,10.0,26.815645238809303,2.0
goe767,0.012162,0.2,0.119998,0.2,500000.0,0.4876,0.0181834555629845,75.68027210884354,7.0,26.815585096629942,3.0
hor12,0.038354,0.487,0.119461,0.239,500000.0,0.4845,0.018080604971794652,103.75441696113074,6.0,26.79666973288833,0.0
e562,0.038947,0.558,0.15041,0.276,500000.0,0.5677,0.021188936159863246,103.94951140065147,7.0,26.792284224035527,0.0
fx05191,0.025822,0.565,0.190818,0.371,500000.0,0.4561,0.017030249122144885,88.15656565656565,6.0,26.781757373526677,0.0
v23010,0.016759,0.15,0.101798,0.3,500000.0,0.3409,0.012731963096964529,79.48289578361178,8.0,26.775132585899115,2.0
fx082512,0.04154,0.629,0.118001,0.25,500000.0,0.6306,0.023571523610807117,80.54171180931743,1.0,26.75261940687115,0.0
e433,0.039814,0.426,0.142161,0.424,500000.0,0.5837,0.021828822283067043,113.79746835443039,6.0,26.739875950741748,0.0
davis_corrected,0.022868,0.311,0.15908,0.295,500000.0,0.3741,0.013990908988521095,95.64426877470356,9.0,26.738791618681248,2.0
goe550,0.042221,0.5,0.129522,0.2,500000.0,0.5033,0.01882604241941349,105.78238341968911,5.0,26.734243384100473,0.0
e639,0.046548,0.292,0.125611,0.292,500000.0,0.4666,0.017463060602828265,99.7560975609756,10.0,26.71925675642624,1.0
clarkk,0.032368,0.401,0.117011,0.301,500000.0,0.7211,0.026992521530865232,101.96467991169978,5.0,26.714806883656323,3.0
nlf0115,0.018091,0.308,0.149727,0.441,500000.0,0.4866,0.018216973505205653,80.18442622950819,5.0,26.71135245714388,2.0
sc1012r8,0.027576,0.215,0.120036,0.276,500000.0,0.463,0.017337737881333297,67.83007334963325,8.0,26.70475255589656,2.0
sc20012,0.0,0.96,0.12,0.4,500000.0,0.333,0.012472595878709924,53.1698344573881,8.0,26.69853198470206,3.0
fx83w160,0.038781,0.629,0.160503,0.371,500000.0,0.5588,0.020933485904287272,108.79454926624739,5.0,26.694072958271857,0.0
fx711520,0.0,0.038,0.15002,0.339,500000.0,0.4566,0.017107338618210764,49.09677419354839,4.0,26.690300004581033,4.0
fx60177,0.02655,0.778,0.177227,0.371,500000.0,0.5082,0.019041648914047263,77.58893280632411,3.0,26.688865144714146,0.0
goe526,0.039558,0.401,0.12305,0.297,500000.0,0.4267,0.0159883059874181,46.53217011995638,0.0,26.688255799944596,0.0
goe506,0.044918,0.493,0.164947,0.293,500000.0,0.4318,0.01619226740979137,62.58463541666667,6.0,26.66704971404394,0.0
daytonwrightt1,0.043594,0.404,0.133974,0.295,500000.0,0.6864,0.0257435410110196,94.16107382550335,1.0,26.66299868018096,0.0
naca4418,0.036425,0.401,0.18026,0.299,500000.0,0.4748,0.017812141402851565,92.43243243243244,6.0,26.655975228446636,0.0
naca633018,-0.0,0.027,0.18014,0.339,500000.0,0.4683,0.01757257818534691,71.06822262118492,7.0,26.6494759653707,4.0
goe685,0.041373,0.495,0.131269,0.202,500000.0,0.4566,0.017137338618210762,73.4512428298279,3.0,26.64357693876692,0.0
goe497,0.052038,0.5,0.127034,0.3,500000.0,0.6548,0.02457641346614307,116.99231613611417,4.0,26.643431959755432,0.0
goe612,0.049265,0.495,0.150263,0.294,500000.0,0.5327,0.019996655341453538,100.57672502574665,4.0,26.639454994040943,0.0
fx74130wp2mod,0.038733,0.435,0.12913,0.435,500000.0,0.5431,0.020395638031546228,116.01931330472102,6.0,26.628242723271487,1.0
goe621,0.049264,0.495,0.150263,0.294,500000.0,0.5321,0.019982730421443527,83.46681922196797,2.0,26.627992710595844,0.0
